Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Interest_Rate,Start_Date,Tenure_Months,Outstanding_Amount,Status,Credit_Risk
L001876,C00474,Personal,78100.0,6.84,2025-08-14,180,68110.8,Active,High
L001877,C12017,Personal,50000.0,8.43,2023-10-10,84,12680.71,Active,Low
L001878,C14821,Auto,170500.0,8.07,2025-08-07,84,120279.27,Active,Medium
L001879,C00414,Auto,127200.0,6.94,2023-11-27,48,17543.76,Active,Low
L001880,C11558,Home,311600.0,8.18,2025-05-04,24,23725.61,Active,Medium
L001881,C14924,Education,286500.0,6.5,2025-10-10,120,99924.02,Active,Low
L001882,C10088,Auto,1083200.0,10.08,2022-08-16,240,145544.98,Active,Medium
L001883,C11939,Auto,226200.0,9.56,2024-02-05,48,91402.13,Active,Low
L001884,C05212,Personal,50000.0,11.01,2024-05-18,24,13485.83,Active,Medium
L001885,C08122,Personal,122600.0,13.62,2024-01-16,60,91807.06,Active,Low
L001886,C10182,Home,210100.0,13.65,2023-02-03,48,84769.51,Closed,Medium
L001887,C06699,Education,492300.0,13.13,2024-02-16,240,353704.36,Active,Low
L001888,C14046,Home,68700.0,8.94,2022-04-01,36,40815.04,Active,Medium
L001889,C09514,Personal,254500.0,7.19,2025-04-24,180,20815.27,Overdue,Medium
L001890,C12365,Business,105400.0,16.25,2023-09-02,240,49156.32,Active,Low
L001891,C07099,Business,200500.0,11.4,2023-02-21,24,28667.01,Overdue,High
L001892,C14400,Business,183300.0,12.9,2025-02-10,180,148758.82,Active,Medium
L001893,C14039,Home,361800.0,16.26,2024-12-10,48,210810.32,Active,Medium
L001894,C13839,Home,275600.0,8.3,2024-05-05,12,19895.95,Active,High
L001895,C06911,Auto,458800.0,14.77,2023-07-12,180,400054.84,Active,Medium
L001896,C09668,Business,189300.0,10.92,2023-02-12,48,43822.27,Closed,Low
L001897,C13016,Auto,169700.0,9.36,2023-04-30,84,144078.68,Closed,Medium
L001898,C09848,Business,145800.0,16.34,2025-09-14,240,121437.3,Active,Medium
L001899,C04553,Home,118400.0,13.63,2023-03-12,240,52925.82,Overdue,Low
L001900,C08783,Auto,358800.0,14.18,2025-09-24,240,282604.12,Active,Medium
L001901,C06591,Personal,275600.0,9.76,2025-01-06,24,198061.91,Active,Medium
L001902,C06017,Auto,353200.0,10.55,2024-06-09,120,55228.95,Closed,Low
L001903,C08841,Auto,146300.0,14.93,2024-05-30,60,72715.1,Defaulted,Low
L001904,C08218,Business,220900.0,14.31,2025-02-20,12,147604.52,Active,Low
L001905,C09926,Personal,146500.0,8.76,2025-08-20,36,55888.37,Active,Medium
L001906,C02864,Business,133000.0,13.66,2023-09-11,36,83893.32,Active,Medium
L001907,C14726,Home,50000.0,12.44,2023-03-22,120,12815.2,Active,High
L001908,C09613,Home,50000.0,11.14,2025-09-01,60,8069.27,Active,Low
L001909,C09759,Home,50000.0,7.43,2023-11-02,60,31517.63,Active,Medium
L001910,C09842,Personal,118200.0,13.35,2025-09-27,24,29684.73,Active,Medium
L001911,C05669,Home,165900.0,8.46,2024-10-13,180,39289.21,Active,Medium
L001912,C00166,Personal,144000.0,14.06,2025-05-25,240,44639.57,Active,Medium
L001913,C11502,Home,150000.0,12.03,2023-11-13,12,20719.43,Overdue,Low
L001914,C10267,Home,176300.0,11.2,2024-12-08,120,165038.17,Active,High
L001915,C08834,Home,89200.0,6.84,2024-11-30,60,50582.74,Closed,Medium
L001916,C09028,Auto,401400.0,12.29,2023-04-14,36,218510.82,Active,Medium
L001917,C10461,Education,217500.0,7.92,2025-11-11,24,153541.44,Closed,Low
L001918,C13763,Personal,176600.0,6.8,2024-11-11,24,91003.68,Active,Low
L001919,C04935,Business,131500.0,10.99,2022-04-05,24,70180.53,Active,Low
L001920,C12383,Home,114000.0,13.71,2023-08-08,240,87071.13,Closed,Medium
L001921,C01750,Education,223500.0,8.81,2025-03-10,180,171591.66,Active,Low
L001922,C13827,Personal,220900.0,12.48,2023-08-21,180,180975.57,Active,Low
L001923,C06090,Education,250600.0,12.75,2024-12-26,36,25893.35,Closed,Low
L001924,C12136,Business,231400.0,13.04,2023-07-08,24,30611.58,Closed,Medium
L001925,C13144,Home,50000.0,8.31,2023-02-20,84,36288.03,Active,Low
L001926,C13730,Auto,55500.0,8.73,2023-02-27,24,13937.3,Closed,Medium
L001927,C05856,Auto,498700.0,14.33,2023-09-09,36,448863.97,Active,Low
L001928,C07887,Business,253300.0,15.62,2024-08-06,12,20177.96,Active,Medium
L001929,C09245,Auto,72900.0,12.8,2023-12-08,180,34270.76,Active,Medium
L001930,C09311,Home,73800.0,12.19,2025-10-24,12,42123.16,Active,Low
L001931,C02158,Business,220900.0,11.88,2025-10-14,48,17006.24,Active,Medium
L001932,C02153,Home,449100.0,7.05,2024-10-26,12,285607.88,Active,Low
L001933,C04225,Auto,367100.0,10.3,2025-01-08,60,305068.75,Active,Low
L001934,C00095,Education,99400.0,13.93,2023-07-13,24,22395.56,Overdue,Medium
L001935,C06997,Personal,178300.0,15.55,2025-03-10,12,71950.16,Overdue,Medium
L001936,C02266,Auto,199900.0,9.61,2022-09-28,240,20639.8,Active,Low
L001937,C08848,Personal,237500.0,13.52,2023-07-20,36,83393.39,Closed,High
L001938,C14773,Personal,168400.0,10.11,2022-09-22,48,155484.88,Active,Low
L001939,C06954,Personal,50000.0,11.33,2022-12-03,12,30802.53,Active,Medium
L001940,C08998,Home,1067200.0,13.29,2024-02-19,120,788987.55,Overdue,Medium
L001941,C02066,Home,111900.0,12.14,2024-04-26,60,64795.31,Active,Low
L001942,C00474,Personal,193700.0,10.18,2025-09-30,120,34429.83,Active,Low
L001943,C00631,Business,128600.0,9.04,2024-03-19,180,63178.71,Closed,Low
L001944,C14302,Personal,440800.0,10.98,2023-05-01,24,280430.83,Closed,Low
L001945,C12136,Home,153800.0,9.41,2022-05-05,24,31413.58,Active,High
L001946,C09648,Auto,186700.0,10.26,2022-04-17,48,21717.57,Active,Medium
L001947,C12753,Personal,453200.0,14.26,2024-04-28,84,296243.88,Active,Low
L001948,C09725,Education,124500.0,13.79,2023-10-30,84,86416.74,Active,Low
L001949,C06676,Personal,126300.0,9.27,2024-06-05,36,62819.4,Active,Medium
L001950,C06001,Personal,398200.0,10.2,2024-04-30,36,356079.61,Closed,Medium
L001951,C13022,Home,169100.0,9.59,2025-12-10,84,16670.76,Active,Medium
L001952,C04208,Personal,936900.0,11.58,2023-01-11,180,490932.26,Closed,Medium
L001953,C10832,Auto,312900.0,6.82,2023-05-18,180,218236.92,Active,Low
L001954,C03546,Personal,228700.0,8.05,2025-10-21,120,177208.12,Active,Low
L001955,C01237,Home,369900.0,10.06,2023-02-06,60,93092.05,Active,Medium
L001956,C14519,Auto,1095700.0,12.39,2022-06-04,48,638850.5,Closed,Medium
L001957,C07113,Personal,158500.0,12.0,2025-10-04,60,74263.44,Active,High
L001958,C09873,Personal,384000.0,11.53,2022-09-06,12,263003.65,Active,Low
L001959,C12659,Auto,279100.0,7.98,2023-10-10,180,215969.98,Closed,Low
L001960,C06892,Personal,95700.0,7.51,2024-03-26,60,39295.49,Closed,Medium
L001961,C06901,Personal,141600.0,11.58,2023-07-02,48,11364.86,Closed,Low
L001962,C03858,Education,101200.0,12.94,2025-12-14,48,59232.23,Overdue,High
L001963,C05506,Home,69100.0,9.21,2022-05-28,84,25558.48,Active,Low
L001964,C08662,Personal,173800.0,7.35,2025-03-05,12,98579.74,Active,Low
L001965,C03881,Personal,250300.0,16.42,2024-11-28,240,68802.48,Active,Low
L001966,C04556,Business,118200.0,9.02,2025-07-30,84,80147.19,Active,Low
L001967,C11638,Home,59500.0,15.38,2025-05-16,240,35704.76,Active,Medium
L001968,C00917,Business,534700.0,13.52,2024-12-16,180,90465.69,Overdue,Low
L001969,C06225,Home,221700.0,13.87,2023-12-18,12,96018.55,Active,Medium
L001970,C11799,Education,50000.0,9.95,2024-07-04,24,6493.37,Active,Low
L001971,C05564,Personal,130300.0,14.68,2025-05-09,84,19841.74,Active,Medium
L001972,C07422,Education,105000.0,8.01,2024-03-27,84,53561.31,Overdue,Medium
L001973,C11141,Auto,178000.0,11.7,2025-06-16,60,129591.46,Active,Low
L001974,C11011,Home,307500.0,11.06,2025-12-16,24,246253.12,Active,Low
L001975,C11368,Personal,76500.0,10.77,2025-10-28,84,70874.63,Active,Medium
L001976,C07673,Personal,315600.0,10.22,2022-03-17,48,184670.14,Overdue,Low
L001977,C13307,Home,596700.0,9.04,2023-04-29,84,318431.85,Active,Low
L001978,C08997,Personal,352200.0,16.44,2022-08-15,240,61534.49,Active,Low
L001979,C08891,Auto,300300.0,15.63,2022-02-27,36,104291.53,Active,Medium
L001980,C04206,Home,85900.0,7.86,2023-08-29,36,60024.95,Active,Low
L001981,C01979,Personal,761600.0,10.52,2023-11-12,36,720086.84,Closed,Low
L001982,C01176,Home,538800.0,14.85,2024-10-10,120,417984.03,Active,Low
L001983,C00446,Personal,122100.0,9.68,2023-04-22,12,31519.26,Closed,High
L001984,C09152,Home,172000.0,12.18,2023-10-13,48,30572.47,Active,Low
L001985,C12373,Personal,93400.0,13.12,2025-06-02,120,69862.48,Active,Low
L001986,C09850,Business,185600.0,13.63,2025-10-25,120,60399.55,Active,Low
L001987,C13628,Business,210800.0,14.78,2022-04-15,48,93140.36,Active,Low
L001988,C08358,Personal,50000.0,14.42,2024-05-21,120,6514.55,Closed,Low
L001989,C11466,Education,266400.0,13.22,2023-05-15,84,100270.17,Active,High
L001990,C05255,Education,378000.0,15.2,2025-10-16,24,163019.79,Overdue,Low
L001991,C01873,Home,58100.0,15.82,2025-10-12,84,37568.13,Active,Low
L001992,C13574,Home,100500.0,12.45,2024-06-20,48,41765.76,Active,Low
L001993,C11590,Personal,242400.0,11.53,2022-03-16,240,121650.72,Active,Low
L001994,C04108,Personal,197300.0,12.8,2023-04-17,12,156391.62,Defaulted,Low
L001995,C04024,Personal,327300.0,14.42,2025-05-12,120,43646.92,Active,High
L001996,C00550,Auto,61400.0,15.11,2022-05-20,12,28229.44,Active,High
L001997,C10559,Education,50400.0,12.05,2022-05-18,48,38511.98,Active,High
L001998,C13036,Home,204100.0,11.7,2022-01-24,60,12203.11,Active,Low
L001999,C05850,Personal,50000.0,15.43,2025-08-04,36,34064.4,Active,Low
L002000,C03732,Personal,152000.0,10.37,2022-12-07,36,125222.32,Active,Low
L002001,C11587,Personal,50000.0,6.73,2025-01-12,24,45071.09,Active,Low
L002002,C04050,Education,290700.0,15.34,2023-01-12,84,56292.11,Active,Low
L002003,C12233,Business,54700.0,9.55,2022-06-02,48,47154.9,Active,Low
L002004,C05360,Education,423300.0,8.01,2025-03-18,36,238851.19,Active,Low
L002005,C13083,Home,131200.0,9.13,2024-09-19,36,75765.69,Active,Medium
L002006,C08097,Personal,258900.0,8.27,2024-05-12,24,45090.48,Active,Low
L002007,C00410,Personal,148500.0,12.84,2022-09-01,120,78314.86,Active,Low
L002008,C13767,Home,86800.0,7.59,2024-06-30,36,46338.03,Closed,Medium
L002009,C03741,Home,175800.0,7.81,2023-07-24,48,100786.22,Active,Low
L002010,C01762,Education,263100.0,8.91,2024-08-03,36,109250.13,Active,Low
L002011,C13028,Education,80300.0,10.64,2025-10-29,84,24355.94,Active,Medium
L002012,C07245,Home,84800.0,10.24,2023-11-13,120,25392.84,Overdue,Low
L002013,C11935,Home,149600.0,12.1,2022-02-09,180,47458.5,Overdue,Medium
L002014,C03461,Personal,246000.0,13.95,2025-01-01,36,132926.74,Closed,Low
L002015,C04984,Personal,85200.0,16.3,2025-11-22,12,58293.86,Active,Medium
L002016,C10737,Business,397100.0,10.39,2023-06-15,48,253424.07,Active,Low
L002017,C11493,Auto,50000.0,12.8,2025-03-03,240,9865.92,Active,Low
L002018,C06985,Personal,728600.0,7.25,2023-03-30,48,295302.83,Defaulted,Low
L002019,C03111,Personal,179100.0,8.39,2024-11-13,48,57428.78,Active,Low
L002020,C12890,Personal,794800.0,14.77,2023-09-26,120,422335.7,Active,Medium
L002021,C06579,Education,222900.0,14.7,2025-02-16,120,95082.87,Active,Low
L002022,C09107,Personal,248000.0,15.04,2024-10-20,36,101261.58,Closed,Low
L002023,C00610,Home,583700.0,14.79,2023-10-20,84,235211.7,Active,High
L002024,C02096,Auto,143300.0,6.89,2023-06-09,180,133532.3,Active,High
L002025,C10399,Home,173900.0,13.08,2024-11-07,240,47073.48,Active,Low
L002026,C04199,Education,178000.0,13.12,2025-06-28,84,137252.4,Active,Low
L002027,C00134,Home,50000.0,10.75,2022-03-25,84,17260.41,Active,Low
L002028,C05223,Home,70800.0,11.09,2025-05-21,36,38582.21,Active,Low
L002029,C08831,Auto,65400.0,15.7,2023-05-07,60,6753.99,Active,Medium
L002030,C01348,Auto,298100.0,15.64,2023-10-12,84,252171.25,Active,Low
L002031,C01404,Personal,90400.0,15.7,2023-05-13,48,77017.51,Active,Medium
L002032,C08550,Home,185700.0,10.73,2024-01-03,60,13848.96,Active,Medium
L002033,C03681,Auto,374100.0,12.39,2023-11-08,24,266189.22,Active,High
L002034,C03040,Personal,657000.0,15.53,2024-10-20,24,434648.66,Active,Medium
L002035,C00446,Auto,137000.0,13.61,2025-07-18,12,70606.91,Active,Low
L002036,C13097,Business,266700.0,15.25,2025-12-24,24,27375.82,Closed,Medium
L002037,C05819,Business,379000.0,16.11,2023-03-22,36,317311.04,Active,Medium
L002038,C13878,Business,233900.0,12.42,2022-11-28,84,181031.92,Active,Low
L002039,C00565,Personal,404800.0,11.86,2025-06-03,48,72963.03,Closed,Medium
L002040,C06078,Home,190400.0,7.75,2023-10-09,180,130969.61,Closed,Medium
L002041,C13195,Auto,70000.0,11.41,2025-08-19,120,9576.76,Active,Low
L002042,C06339,Business,113400.0,7.99,2023-12-23,36,57723.33,Active,Medium
L002043,C11111,Home,293700.0,14.31,2023-05-20,120,196730.75,Active,Low
L002044,C07204,Auto,133900.0,16.03,2025-09-22,36,63079.09,Closed,Medium
L002045,C13268,Education,329200.0,13.55,2024-06-13,180,188850.52,Overdue,High
L002046,C08623,Home,638900.0,14.7,2023-09-10,12,562181.43,Active,Medium
L002047,C06643,Auto,92100.0,9.44,2025-03-30,36,87323.17,Active,Medium
L002048,C03919,Personal,58300.0,16.09,2024-04-16,60,22273.19,Active,Low
L002049,C08399,Home,469000.0,11.01,2023-02-12,60,122979.98,Active,Low
L002050,C04475,Home,260200.0,12.86,2022-11-10,36,112529.03,Closed,Medium
L002051,C04752,Personal,272000.0,13.24,2024-08-26,60,110648.72,Active,Low
L002052,C04400,Auto,54900.0,12.64,2025-12-10,12,10760.44,Active,Low
L002053,C04392,Education,125100.0,15.25,2025-01-02,48,63976.25,Overdue,Medium
L002054,C06650,Home,536200.0,11.05,2025-05-07,180,229261.23,Overdue,High
L002055,C11982,Auto,413700.0,12.21,2023-05-21,12,55272.02,Active,Medium
L002056,C13152,Home,456100.0,7.54,2023-07-13,120,239491.38,Active,Low
L002057,C01562,Home,97300.0,8.06,2025-12-03,36,49680.89,Active,High
L002058,C11923,Home,198600.0,6.92,2022-05-07,120,102484.49,Overdue,High
L002059,C06534,Home,236100.0,16.1,2022-07-16,84,132523.62,Overdue,High
L002060,C14753,Home,88300.0,7.24,2024-02-27,12,46292.08,Closed,Low
L002061,C14166,Personal,83500.0,16.41,2025-05-26,24,34096.41,Active,Low
L002062,C02832,Personal,166000.0,6.76,2024-11-25,180,44085.28,Active,Medium
L002063,C13379,Home,83900.0,7.92,2024-04-06,48,48353.61,Active,High
L002064,C02467,Home,106400.0,9.1,2022-08-08,24,77900.61,Active,Low
L002065,C00169,Home,187700.0,12.88,2025-01-29,24,109735.5,Active,Low
L002066,C00112,Personal,357100.0,13.37,2025-04-06,48,89201.86,Closed,Low
L002067,C04750,Home,455600.0,14.92,2023-01-12,12,161078.2,Active,Low
L002068,C03104,Home,80100.0,11.32,2023-05-24,12,8047.1,Active,Low
L002069,C05892,Home,93000.0,6.88,2025-06-26,120,75877.75,Active,High
L002070,C03839,Personal,177900.0,11.62,2023-08-22,60,36033.34,Active,High
L002071,C07472,Home,540600.0,11.15,2022-10-23,240,248719.27,Active,Low
L002072,C08473,Auto,199500.0,9.89,2024-12-25,180,109608.39,Active,Low
L002073,C06860,Business,235600.0,16.49,2024-11-21,180,126768.88,Closed,Low
L002074,C00686,Home,133200.0,9.0,2024-07-19,48,63695.44,Closed,Medium
L002075,C07696,Auto,152200.0,11.98,2024-11-16,60,77960.35,Active,High
L002076,C13798,Personal,299100.0,11.57,2024-10-18,120,241085.34,Active,Low
L002077,C05423,Home,102000.0,11.07,2023-02-25,36,79230.54,Overdue,Medium
L002078,C07869,Auto,57300.0,7.21,2024-12-14,24,17061.42,Active,Medium
L002079,C13861,Auto,189600.0,13.03,2023-05-23,60,72247.08,Closed,Low
L002080,C06872,Personal,477500.0,9.31,2023-03-21,240,219462.19,Active,Low
L002081,C06842,Personal,123100.0,9.36,2025-07-02,24,95056.98,Active,High
L002082,C03172,Personal,205700.0,15.0,2022-10-09,120,158483.52,Active,Low
L002083,C07887,Personal,75600.0,10.42,2023-07-13,120,47918.64,Active,Medium
L002084,C03783,Personal,125100.0,14.93,2024-05-21,24,43729.88,Closed,Low
L002085,C10992,Personal,183400.0,11.09,2022-03-09,48,165858.23,Closed,Low
L002086,C13010,Home,239200.0,12.82,2025-10-06,48,89618.9,Overdue,High
L002087,C07532,Auto,132600.0,8.56,2025-07-11,60,48258.83,Active,Low
L002088,C08250,Business,174300.0,11.68,2024-10-18,12,38241.59,Active,Low
L002089,C12054,Personal,180700.0,8.72,2023-06-12,60,79198.26,Active,High
L002090,C05753,Business,115600.0,14.86,2025-10-14,24,17700.8,Active,Medium
L002091,C07583,Auto,325100.0,11.01,2023-10-12,120,26125.52,Active,Low
L002092,C12401,Education,337600.0,7.94,2024-11-14,24,204343.14,Active,Medium
L002093,C14555,Auto,108000.0,7.21,2022-06-13,48,10958.14,Active,Medium
L002094,C01731,Business,167700.0,13.19,2024-08-01,36,97897.04,Active,Low
L002095,C02223,Auto,713800.0,6.67,2025-02-08,48,165780.81,Active,Low
L002096,C09999,Education,456900.0,10.76,2023-10-03,24,242191.9,Defaulted,Low
L002097,C01742,Auto,94100.0,8.97,2023-08-20,36,72968.0,Closed,Medium
L002098,C03577,Personal,166000.0,8.4,2023-01-19,180,64597.09,Active,Medium
L002099,C01556,Home,50000.0,14.63,2023-04-09,240,33403.18,Active,Low
L002100,C08221,Auto,325400.0,10.98,2024-04-06,36,163385.49,Overdue,Low
L002101,C06242,Personal,131700.0,7.04,2025-07-11,240,110510.46,Active,Medium
L002102,C05233,Personal,351700.0,11.04,2023-08-21,180,127599.66,Closed,High
L002103,C07405,Auto,125800.0,13.23,2022-06-25,36,22172.18,Active,Medium
L002104,C09093,Home,165000.0,13.96,2025-01-14,240,103528.38,Active,Low
L002105,C06048,Personal,111300.0,7.83,2022-03-23,84,101382.73,Closed,Low
L002106,C10395,Home,77400.0,10.9,2025-11-28,60,17158.68,Overdue,Low
L002107,C10753,Home,190800.0,13.43,2023-06-20,60,48089.79,Active,Medium
L002108,C01865,Auto,308700.0,7.06,2025-11-09,12,113576.09,Active,High
L002109,C02362,Home,169800.0,12.56,2022-10-06,24,100647.99,Closed,Medium
L002110,C14781,Auto,50000.0,11.55,2024-05-28,24,41940.34,Closed,Low
L002111,C09719,Auto,300800.0,11.75,2022-05-04,120,69362.92,Active,Low
L002112,C04354,Personal,124000.0,7.72,2023-04-05,12,104536.88,Active,High
L002113,C14229,Home,50000.0,15.55,2023-07-28,36,8110.72,Active,Low
L002114,C01141,Auto,168400.0,12.57,2024-07-05,36,115905.77,Closed,Low
L002115,C01202,Business,75700.0,6.9,2025-03-21,120,52969.76,Active,Low
L002116,C09229,Auto,274300.0,9.71,2024-10-25,60,123720.03,Active,Low
L002117,C08798,Business,152900.0,8.01,2023-04-09,180,91666.99,Active,Low
L002118,C07739,Auto,118300.0,8.69,2022-09-26,180,86323.74,Active,Low
L002119,C10059,Auto,59600.0,9.66,2025-04-24,36,21722.15,Active,High
L002120,C00855,Personal,242600.0,15.79,2022-06-12,180,13823.33,Active,Medium
L002121,C06357,Education,706700.0,12.34,2023-01-20,36,353884.93,Active,Low
L002122,C00857,Home,50700.0,12.2,2023-11-24,48,38950.41,Active,High
L002123,C04032,Auto,101500.0,10.8,2023-06-07,36,47746.85,Active,Medium
L002124,C11486,Auto,194300.0,13.97,2022-01-26,36,109693.46,Active,Medium
L002125,C11740,Home,587400.0,13.13,2022-10-31,60,366516.6,Active,Low
L002126,C09109,Auto,143200.0,8.67,2024-04-10,240,76164.74,Active,Low
L002127,C10120,Home,76700.0,15.58,2022-03-10,48,4822.86,Active,Low
L002128,C11820,Education,50000.0,13.33,2024-06-02,24,24665.73,Active,Low
L002129,C01867,Home,149000.0,9.75,2025-06-30,240,73276.49,Active,Low
L002130,C11869,Auto,50000.0,15.23,2023-08-25,180,22530.28,Active,Low
L002131,C10870,Home,290100.0,10.25,2022-12-10,84,217358.5,Active,Medium
L002132,C09162,Home,72200.0,9.46,2022-07-18,48,35270.88,Active,Medium
L002133,C00226,Auto,113400.0,9.79,2025-08-15,240,67790.6,Active,Medium
L002134,C11690,Personal,794500.0,9.88,2022-04-28,36,314383.67,Active,Medium
L002135,C13848,Home,50000.0,12.17,2022-08-03,60,20427.29,Active,Medium
L002136,C10168,Auto,324700.0,12.45,2022-06-20,120,22719.27,Active,Medium
L002137,C00505,Home,226300.0,9.94,2025-01-21,120,39303.03,Active,Medium
L002138,C10228,Personal,121200.0,9.42,2023-09-12,36,41698.94,Closed,Medium
L002139,C13523,Personal,71200.0,15.87,2023-07-01,12,38818.8,Closed,Low
L002140,C02883,Home,134400.0,6.78,2024-04-18,12,78590.03,Active,Medium
L002141,C03764,Home,327600.0,8.99,2025-04-18,84,82615.75,Active,Medium
L002142,C02793,Education,230400.0,8.68,2023-02-18,48,55459.32,Closed,Medium
L002143,C05845,Personal,262700.0,8.02,2022-04-08,48,129756.42,Closed,Low
L002144,C05956,Auto,109000.0,9.14,2023-01-03,24,11565.72,Active,Low
L002145,C08584,Home,223600.0,13.14,2025-05-01,120,98310.31,Active,High
L002146,C05726,Home,122100.0,12.37,2025-07-04,240,15483.65,Active,Low
L002147,C09028,Auto,246400.0,10.14,2022-07-27,36,183825.05,Active,Low
L002148,C09486,Personal,465300.0,10.36,2025-07-23,84,113996.34,Active,High
L002149,C02234,Home,95800.0,12.49,2025-05-29,12,27387.34,Closed,Medium
L002150,C03577,Education,160200.0,12.24,2025-10-03,84,76010.99,Active,Medium
L002151,C08841,Education,243800.0,8.16,2024-10-19,180,56270.52,Active,Low
L002152,C07167,Home,285500.0,11.26,2025-04-11,84,188380.68,Closed,Medium
L002153,C08796,Auto,208800.0,14.09,2022-03-21,12,56363.61,Active,Medium
L002154,C07304,Personal,84100.0,12.33,2024-10-10,120,38835.71,Active,High
L002155,C14178,Auto,166000.0,10.32,2022-07-31,240,74658.38,Overdue,Medium
L002156,C10854,Home,608500.0,15.46,2022-05-28,240,382452.18,Active,High
L002157,C07597,Personal,135200.0,9.07,2024-01-09,84,44892.11,Closed,Low
L002158,C14238,Auto,248700.0,12.28,2023-02-23,60,95447.94,Active,Medium
L002159,C04808,Business,104800.0,15.21,2022-02-27,84,9478.13,Active,Medium
L002160,C08063,Personal,50000.0,10.64,2023-10-05,24,16666.19,Closed,Low
L002161,C09040,Personal,604200.0,7.75,2022-09-19,24,222737.8,Active,Low
L002162,C11012,Home,95900.0,10.54,2022-09-15,12,57964.28,Closed,Medium
L002163,C14177,Home,325700.0,9.76,2025-02-08,12,192591.38,Active,Low
L002164,C09073,Personal,121600.0,7.75,2024-01-11,240,95919.41,Closed,Low
L002165,C03262,Business,154900.0,8.1,2022-05-23,12,46414.1,Active,High
L002166,C03902,Personal,186500.0,14.24,2023-09-03,36,139940.03,Active,Low
L002167,C10115,Personal,405600.0,8.43,2023-06-23,48,354940.49,Active,High
L002168,C05663,Home,468000.0,13.93,2023-07-30,48,360110.4,Active,Medium
L002169,C06956,Personal,180000.0,8.99,2024-01-08,24,151756.37,Closed,Medium
L002170,C04944,Home,129400.0,16.29,2023-01-20,24,38011.54,Closed,Low
L002171,C14101,Auto,323700.0,14.48,2024-02-10,36,250279.43,Active,Low
L002172,C11091,Auto,74100.0,10.77,2024-08-20,120,24278.86,Active,Medium
L002173,C08639,Home,463700.0,12.74,2023-01-24,24,389833.33,Active,Low
L002174,C12016,Education,102600.0,8.75,2023-03-22,180,29505.63,Active,High
L002175,C00163,Auto,50000.0,8.52,2023-06-30,24,25328.83,Active,Medium
L002176,C08475,Education,174500.0,8.62,2022-07-02,48,72540.07,Active,Medium
L002177,C07945,Personal,61200.0,13.75,2022-01-19,84,7862.47,Active,Low
L002178,C05002,Personal,77900.0,9.02,2023-11-13,120,35092.63,Active,Medium
L002179,C12595,Business,619100.0,7.99,2022-03-05,48,36174.16,Active,Low
L002180,C07224,Business,318700.0,13.63,2023-05-05,48,164120.86,Active,Medium
L002181,C07089,Personal,293500.0,15.04,2024-05-21,36,29769.95,Overdue,Low
L002182,C06144,Home,83100.0,15.7,2022-12-13,12,57428.84,Active,Medium
L002183,C02590,Home,86700.0,8.66,2024-12-21,84,60018.83,Active,Medium
L002184,C11465,Personal,225000.0,13.24,2023-12-03,48,183488.68,Closed,Low
L002185,C07029,Personal,315200.0,11.95,2023-08-28,60,148344.13,Overdue,Low
L002186,C03789,Home,164100.0,12.83,2022-05-14,48,53995.62,Closed,Low
L002187,C00285,Personal,659000.0,14.35,2023-02-20,12,136569.64,Active,Medium
L002188,C03855,Auto,57300.0,14.61,2022-07-03,24,29205.53,Active,Low
L002189,C10257,Home,335700.0,9.42,2022-07-31,48,186399.06,Overdue,High
L002190,C08238,Personal,50000.0,9.42,2022-06-19,240,45557.16,Closed,Low
L002191,C09643,Home,94600.0,12.37,2025-10-18,240,6573.01,Closed,High
L002192,C07657,Home,220400.0,15.54,2023-05-11,180,200356.53,Active,Medium
L002193,C14175,Auto,240400.0,14.25,2025-01-19,48,218802.43,Overdue,Medium
L002194,C12867,Home,738400.0,16.04,2022-01-23,240,305021.16,Active,High
L002195,C12140,Auto,172400.0,15.68,2024-01-04,48,81459.93,Active,Low
L002196,C12565,Home,59400.0,7.07,2024-07-15,36,38728.03,Active,Medium
L002197,C04646,Business,88900.0,7.41,2023-02-05,240,81473.4,Active,Low
L002198,C10576,Personal,99900.0,10.88,2022-10-01,240,46884.06,Active,Medium
L002199,C01419,Business,297600.0,6.82,2025-06-20,60,64489.14,Active,Low
L002200,C05388,Personal,52900.0,7.9,2025-09-24,60,48311.1,Active,Low
L002201,C00891,Home,108300.0,10.7,2023-02-06,36,42602.39,Active,Medium
L002202,C10856,Business,166300.0,12.7,2025-08-30,60,38748.05,Overdue,Medium
L002203,C14947,Home,154300.0,14.46,2024-05-10,48,90281.1,Active,Low
L002204,C07388,Home,216500.0,16.37,2023-11-24,24,13185.97,Active,Medium
L002205,C14028,Home,311800.0,7.16,2025-04-21,36,59657.21,Active,Medium
L002206,C13115,Auto,334200.0,10.77,2022-01-11,36,102724.06,Active,Medium
L002207,C12618,Home,656400.0,12.31,2024-06-12,48,501835.61,Active,Low
L002208,C00263,Personal,159200.0,14.92,2025-06-29,120,12395.98,Active,Low
L002209,C02540,Business,80300.0,13.62,2025-11-27,120,34144.8,Active,Medium
L002210,C08616,Auto,549300.0,9.25,2022-04-23,240,519405.31,Closed,Low
L002211,C01647,Home,71600.0,8.63,2022-06-24,84,62098.61,Closed,Medium
L002212,C14319,Business,958300.0,12.7,2025-07-31,48,363181.71,Active,Low
L002213,C09806,Auto,621100.0,15.09,2022-11-21,180,89152.76,Active,Medium
